fileName,execTime,avg_exec_time,ioReadTime,avg_io_read_time,ioWriteTime,avg_io_write_time,pixelNum,version
../performance/sample_images/random16x16.bmp,3.682834483,3.68e-07,16.999993579,4.352e-06,38.043245041,9.2753e-05,256,1
../performance/sample_images/random24x24.bmp,7.598878726,7.6e-07,7.795552139,4.49e-06,16.148236199,8.8585e-05,576,1
../performance/sample_images/random32x32.bmp,12.271309481,1.227e-06,4.463056677,4.57e-06,9.470533983,9.236e-05,1024,1
../performance/sample_images/random48x48.bmp,1.202356249,2.77e-06,2.486963564,5.73e-06,5.0997865,0.000111906,2304,1
../performance/sample_images/random64x64.bmp,1.151619831,4.717e-06,1.638266923,6.71e-06,3.299447388,0.000128714,4096,1
../performance/sample_images/random128x128.bmp,1.070650726,1.7542e-05,0.665393695,1.0902e-05,1.585603121,0.000247441,16384,1
../performance/sample_images/random320x200.bmp,1.061824097,6.7957e-05,1.548957522,9.9133e-05,1.132767422,0.000690712,64000,1
../performance/sample_images/random256x256.bmp,1.073097204,7.033e-05,1.521837763,9.974e-05,1.096275411,0.000684317,65536,1
../performance/sample_images/random320x240.bmp,1.100188768,8.45e-05,1.597969607,0.000122732,1.31525578,0.000962148,76800,1
../performance/sample_images/random320x320.bmp,1.202765527,0.000123171,1.731854857,0.000177353,1.527225114,0.001489976,102400,1
../performance/sample_images/random480x300.bmp,1.07181547,0.000154351,1.625305191,0.000234059,1.82365041,0.002501578,144000,1
../performance/sample_images/random480x320.bmp,1.047880331,0.000160965,1.629629498,0.000250327,1.589185398,0.002326772,153600,1
../performance/sample_images/random480x480.bmp,1.147945392,0.000264504,1.620084261,0.000373291,1.170001954,0.002571433,230400,1
../performance/sample_images/random640x360.bmp,1.208234841,0.000278395,1.805408628,0.000415993,1.058983431,0.002327436,230400,1
../performance/sample_images/random640x400.bmp,1.114426765,0.000285312,1.817140913,0.000465218,1.389360263,0.003388684,256000,1
../performance/sample_images/random640x480.bmp,1.122763204,0.000344935,1.960602599,0.000602336,2.322202473,0.006809978,307200,1
../performance/sample_images/random720x480.bmp,1.043135316,0.000360572,1.823003657,0.000630143,1.182818817,0.003903692,345600,1
../performance/sample_images/random800x450.bmp,1.055166614,0.000379966,1.679199229,0.000604681,0.895605404,0.003077682,360000,1
../performance/sample_images/random800x500.bmp,1.076083043,0.000430433,1.721246015,0.000688498,1.674456977,0.006391057,400000,1
../performance/sample_images/random640x640.bmp,1.153085579,0.000472382,1.967817416,0.000806152,1.55399643,0.006070299,409600,1
../performance/sample_images/random800x600.bmp,1.055638229,0.000506787,1.768039872,0.000848795,0.956344847,0.004386903,480000,1
../performance/sample_images/random960x540.bmp,1.189534669,0.000616659,2.019052451,0.001046683,2.00520101,0.009926738,518400,1
../performance/sample_images/random1024x576.bmp,1.113097491,0.000656695,2.179804644,0.00128602,1.24571834,0.006998418,589824,1
../performance/sample_images/random800x800.bmp,1.166247054,0.000746637,2.13632923,0.001367688,1.076392081,0.006563366,640000,1
../performance/sample_images/random1024x640.bmp,1.134836553,0.000744155,2.393678909,0.001569626,1.419280412,0.008870503,655360,1
../performance/sample_images/random1024x768.bmp,1.050509843,0.000826522,1.476393978,0.0011616,0.877973143,0.006601302,786432,1
../performance/sample_images/random1280x720.bmp,1.050899675,0.000968571,1.986255779,0.00183065,1.434647215,0.012695993,921600,1
../performance/sample_images/random1280x800.bmp,1.120312221,0.001147861,2.069769111,0.002120665,1.462056987,0.014333892,1024000,1
../performance/sample_images/random1024x1024.bmp,1.056165517,0.001108253,1.852490393,0.001943851,1.21716136,0.012171614,1048576,1
../performance/sample_images/random1366x768.bmp,1.085147678,0.001138665,1.799291087,0.001888028,1.22192525,0.012219252,1049088,1
../performance/sample_images/random1440x900.bmp,1.188816142,0.001541915,1.947599409,0.002526069,1.460054422,0.018025363,1296000,1
../performance/sample_images/random1600x900.bmp,1.052663269,0.001516806,1.78592146,0.002573374,0.892978568,0.01240248,1440000,1
../performance/sample_images/random1600x1000.bmp,1.202736352,0.001924378,2.335557605,0.003736892,1.265994808,0.019476843,1600000,1
../performance/sample_images/random1680x1050.bmp,1.069699412,0.001889928,1.507971354,0.00266426,1.426115368,0.024171447,1764000,1
../performance/sample_images/random1920x1080.bmp,1.127034924,0.002338247,2.01228942,0.004174874,0.929220581,0.018584412,2073600,1
../performance/sample_images/random1920x1200.bmp,1.059602451,0.00244148,1.639508541,0.003777669,1.190660319,0.026459118,2304000,1
../performance/sample_images/random2048x1152.bmp,1.073006863,0.002536659,1.850008931,0.004373544,1.178689423,0.026788396,2359296,1
../performance/sample_images/random2560x1440.bmp,1.082195933,0.003993343,1.630839617,0.006017858,1.482227297,0.052936689,3686400,1
../performance/sample_images/random2560x1600.bmp,1.074835874,0.004405065,1.415608357,0.005801674,1.410710935,0.056428437,4096000,1
../performance/sample_images/random2880x1620.bmp,1.148848304,0.00536845,1.596144666,0.00745862,1.029603474,0.046800158,4665600,1
../performance/sample_images/random2880x1800.bmp,1.140719784,0.005941249,1.794205311,0.009344819,0.950937989,0.047546899,5184000,1
../performance/sample_images/random3200x1800.bmp,1.164587784,0.006731721,1.645609921,0.009512196,0.878707921,0.048817107,5760000,1
../performance/sample_images/random3840x2160.bmp,1.140655172,0.00950546,1.654262124,0.013785518,0.848469366,0.07070578,8294400,1
../performance/sample_images/random4096x2160.bmp,1.048190563,0.009276023,1.473038496,0.013035739,1.265080125,0.115007284,8847360,1
../performance/sample_images/random5120x2880.bmp,1.217801699,0.018176145,1.449767033,0.021638314,1.043914598,0.149130657,14745600,1
