fileName,execTime,avg_exec_time,ioReadTime,avg_io_read_time,ioWriteTime,avg_io_write_time,pixelNum,version
../performance/sample_images/random16x16.bmp,1.364648489,3.49e-07,16.51862894,4.229e-06,36.062659761,8.7924e-05,256,1
../performance/sample_images/random24x24.bmp,1.257601752,7.24e-07,7.771125661,4.476e-06,15.754056978,8.6423e-05,576,1
../performance/sample_images/random32x32.bmp,1.191886188,1.22e-06,4.408743443,4.515e-06,11.599513877,0.000113123,1024,1
../performance/sample_images/random48x48.bmp,1.132373734,2.609e-06,2.325747912,5.359e-06,5.122639419,0.000112408,2304,1
../performance/sample_images/random64x64.bmp,1.103230382,4.519e-06,1.454562615,5.958e-06,3.148159209,0.000122812,4096,1
../performance/sample_images/random128x128.bmp,1.069347913,1.752e-05,0.663991587,1.0879e-05,3.627218406,0.000566045,16384,1
../performance/sample_images/random320x200.bmp,1.041816614,6.6676e-05,1.565316894,0.00010018,2.315237003,0.00141173,64000,1
../performance/sample_images/random256x256.bmp,1.053365608,6.9037e-05,1.507404452,9.8794e-05,3.224601774,0.00201286,65536,1
../performance/sample_images/random320x240.bmp,1.092335365,8.3897e-05,1.606762112,0.000123407,1.426561856,0.001043571,76800,1
../performance/sample_images/random320x320.bmp,1.073203903,0.000109903,1.67215898,0.00017124,1.558670414,0.001520654,102400,1
../performance/sample_images/random480x300.bmp,1.044998911,0.000150489,1.614222681,0.000232463,1.15584449,0.001585521,144000,1
../performance/sample_images/random480x320.bmp,1.042332049,0.000160112,1.602698385,0.00024619,2.944287976,0.004310817,153600,1
../performance/sample_images/random480x480.bmp,1.181488283,0.000272232,1.690492183,0.000389514,3.15339123,0.00693053,230400,1
../performance/sample_images/random640x360.bmp,1.045961114,0.000241005,1.630519898,0.000375696,1.143118861,0.002512349,230400,1
../performance/sample_images/random640x400.bmp,1.045450617,0.000267652,1.690147918,0.000432706,1.012777797,0.00247019,256000,1
../performance/sample_images/random640x480.bmp,1.09141606,0.000335304,1.706817282,0.000524368,1.240807164,0.003638731,307200,1
../performance/sample_images/random720x480.bmp,1.039821413,0.000359427,1.701851491,0.000588265,1.344872883,0.004438524,345600,1
../performance/sample_images/random800x450.bmp,1.049993054,0.000378103,1.73630977,0.000625247,1.555063331,0.00534386,360000,1
../performance/sample_images/random800x500.bmp,1.046693356,0.000418677,1.682529865,0.000673012,1.226672531,0.004681956,400000,1
../performance/sample_images/random640x640.bmp,1.051137109,0.000430617,1.675455089,0.000686381,1.15935869,0.004528745,409600,1
../performance/sample_images/random800x600.bmp,1.045561554,0.00050195,1.70932771,0.000820609,0.900682592,0.004131572,480000,1
../performance/sample_images/random960x540.bmp,1.062797833,0.000550958,1.781317987,0.000923441,1.217371982,0.006026594,518400,1
../performance/sample_images/random1024x576.bmp,1.050878774,0.000619987,1.719199217,0.001014277,1.553153439,0.008725581,589824,1
../performance/sample_images/random800x800.bmp,1.054367686,0.000675011,1.878623392,0.001202704,1.342652026,0.008186903,640000,1
../performance/sample_images/random1024x640.bmp,1.059597673,0.000694818,2.010128748,0.001318117,1.56260469,0.009766279,655360,1
../performance/sample_images/random1024x768.bmp,1.050180615,0.000826263,0.824496607,0.000648699,0.887597538,0.006673666,786432,1
../performance/sample_images/random1280x720.bmp,1.141420126,0.001052,2.157916925,0.001988864,1.317469872,0.011659025,921600,1
../performance/sample_images/random1280x800.bmp,1.045717287,0.001071432,1.558235337,0.001596553,0.985256205,0.009659375,1024000,1
../performance/sample_images/random1024x1024.bmp,1.062795468,0.00111521,1.898821241,0.001992467,1.276232102,0.012762321,1048576,1
../performance/sample_images/random1366x768.bmp,1.059337114,0.001111581,1.829196709,0.001919409,2.683328841,0.026833288,1049088,1
../performance/sample_images/random1440x900.bmp,1.08070088,0.001401687,1.575587542,0.002043564,0.907435615,0.011202909,1296000,1
../performance/sample_images/random1600x900.bmp,1.042847126,0.001502662,1.742502991,0.002510811,2.994007792,0.041583442,1440000,1
../performance/sample_images/random1600x1000.bmp,1.060718474,0.00169715,1.471463253,0.002354341,0.813577775,0.012516581,1600000,1
../performance/sample_images/random1680x1050.bmp,1.075458991,0.001900104,1.828632971,0.0032308,1.267085824,0.021476031,1764000,1
../performance/sample_images/random1920x1080.bmp,1.115578193,0.002314478,1.647343231,0.003417725,1.040304628,0.020806093,2073600,1
../performance/sample_images/random1920x1200.bmp,1.048479686,0.002415852,1.659838068,0.003824512,1.502155249,0.033381228,2304000,1
../performance/sample_images/random2048x1152.bmp,1.120498388,0.002648932,1.653196817,0.003908267,0.833120055,0.018934547,2359296,1
../performance/sample_images/random2560x1440.bmp,1.057191923,0.003901077,1.586144846,0.005852933,1.354681823,0.048381494,3686400,1
../performance/sample_images/random2560x1600.bmp,1.044653512,0.004281367,1.367967273,0.005606423,0.826948263,0.033077931,4096000,1
../performance/sample_images/random2880x1620.bmp,1.092160836,0.005103555,1.526934228,0.007135207,1.353022851,0.061501039,4665600,1
../performance/sample_images/random2880x1800.bmp,1.058442226,0.00551272,1.423059647,0.007411769,1.451548657,0.072577433,5184000,1
../performance/sample_images/random3200x1800.bmp,1.046445283,0.006048817,1.344529727,0.007771848,0.936824428,0.052045802,5760000,1
../performance/sample_images/random3840x2160.bmp,1.046452084,0.008720434,1.413043098,0.011775359,0.794405577,0.066200465,8294400,1
../performance/sample_images/random4096x2160.bmp,1.046183171,0.009258258,1.421758789,0.012581936,0.923430987,0.083948272,8847360,1
../performance/sample_images/random5120x2880.bmp,1.065101201,0.015897033,1.254382515,0.018722127,1.429545258,0.204220751,14745600,1
