fileName,execTime,avg_exec_time,ioReadTime,avg_io_read_time,ioWriteTime,avg_io_write_time,pixelNum,version
../performance/sample_images/sample_640x427.bmp,0.259215518,0.000460693,0.097138857,0.000971389,3.034123087,0.002592155,273280,2
../performance/sample_images/sample_1280x853.bmp,0.739632683,0.001800012,0.438248458,0.004382485,2.966419997,0.007396327,1091840,2
../performance/sample_images/sample_1920x1280.bmp,1.771071715,0.003994096,1.239879205,0.012398792,2.92367822,0.017710717,2457600,2
../performance/sample_images/sample_3840x2160.bmp,6.066312931,0.013516634,3.945114784,0.039451148,2.933109477,0.060663129,8294400,2
