fileName,execTime,avg_exec_time,ioReadTime,avg_io_read_time,ioWriteTime,avg_io_write_time,pixelNum,version
../performance/sample_images/sample_640x427.bmp,2.931620171,0.000445129,0.098301158,0.000983012,0.254229204,0.002542292,273280,2
../performance/sample_images/sample_1280x853.bmp,3.109508767,0.001886838,0.521614931,0.005216149,0.651843184,0.006518432,1091840,2
../performance/sample_images/sample_1920x1280.bmp,3.035682181,0.004147107,1.267702988,0.01267703,1.518657423,0.015186574,2457600,2
../performance/sample_images/sample_3840x2160.bmp,3.225406306,0.014863624,4.74186986,0.047418699,5.026138609,0.050261386,8294400,2
